"동별(1)",동별(2),2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 1/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 2/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4
"동별(1)",동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",마포구,176133,386086,181204,204882,374570,176943,197627,11516,4261,7255,2.13,53283,177544,384957,180659,204298,374390,176664,197726,10567,3995,6572,2.10872,53694,178495,383494,179899,203595,373508,176011,197497,9986,3888,6098,2.0925404,54053,178482,381858,178977,202881,371890,175150,196740,9968,3827,6141,2.08,54331
"합계",양천구,177436,460532,226109,234423,456339,224241,232098,4193,1868,2325,2.57,62761,179677,462034,226748,235286,457953,224908,233045,4081,1840,2241,2.54876,63824,180309,460048,225596,234452,456240,223889,232351,3808,1707,2101,2.5303229,64804,180633,457781,224379,233402,454251,222824,231427,3530,1555,1975,2.51,65670
"합계",강서구,263645,595703,288134,307569,589302,285085,304217,6401,3049,3352,2.24,85992,265252,593203,286668,306535,586936,283697,303239,6267,2971,3296,2.21275,87032,266366,589536,284747,304789,583544,281951,301593,5992,2796,3196,2.1907601,88052,266982,585901,282686,303215,580185,280034,300151,5716,2652,3064,2.17,88984
"합계",구로구,177275,438308,218970,219338,405837,200558,205279,32471,18412,14059,2.29,67432,178367,436707,218051,218656,405075,200098,204977,31632,17953,13679,2.27102,68280,179792,435751,217380,218371,405579,200268,205311,30172,17112,13060,2.2558234,69312,180531,432488,215424,217064,404408,199673,204735,28080,15751,12329,2.24,70198
"합계",금천구,111542,251370,128643,122727,232583,118044,114539,18787,10599,8188,2.09,38508,112570,250554,128078,122476,232250,117762,114488,18304,10316,7988,2.06316,38950,113887,249641,127292,122349,232157,117489,114668,17484,9803,7681,2.0384855,39361,114715,247835,126141,121694,231733,117226,114507,16102,8915,7187,2.02,39842
"합계",영등포구,177743,404766,202617,202149,371903,184316,187587,32863,18301,14562,2.09,59373,179787,405154,202648,202506,373349,184905,188444,31805,17743,14062,2.07662,60071,182087,405982,202624,203358,375630,185800,189830,30352,16824,13528,2.062915,60826,184714,407367,202969,204398,379480,187647,191833,27887,15322,12565,2.05,61688
"합계",동작구,181761,407802,196943,210859,395014,191272,203742,12788,5671,7117,2.17,63378,183537,406776,196479,210297,395165,191211,203954,11611,5268,6343,2.15305,64039,184193,404617,195373,209244,393554,190422,203132,11063,4951,6112,2.1366393,64674,184229,401572,193718,207854,391220,189152,202068,10352,4566,5786,2.12,65190
"합계",관악구,270760,516662,258982,257680,499374,250743,248631,17288,8239,9049,1.84,76664,273715,516318,258740,257578,499740,250829,248911,16578,7911,8667,1.82577,77341,275248,514555,257638,256917,498574,250084,248490,15981,7554,8427,1.8113628,78206,274811,509803,255211,254592,495060,248339,246721,14743,6872,7871,1.8,78875
"합계",서초구,173580,434801,207877,226924,430568,205787,224781,4233,2090,2143,2.48,58332,173998,433062,207095,225967,428919,205037,223882,4143,2058,2085,2.46508,59063,173483,429995,205671,224324,426009,203686,222323,3986,1985,2001,2.4556239,59495,173502,429025,205282,223743,425126,203359,221767,3899,1923,1976,2.45,60169
"합계",강남구,233624,549898,263163,286735,544804,260654,284150,5094,2509,2585,2.33,72602,233484,546158,261187,284971,541233,258753,282480,4925,2434,2491,2.31807,73097,234021,544085,260358,283727,539235,257961,281274,4850,2397,2453,2.3042163,73942,234872,544055,260378,283677,539231,257999,281232,4824,2379,2445,2.3,75096
"합계",송파구,279301,680883,329058,351825,674095,325859,348236,6788,3199,3589,2.41,89539,280135,678067,327383,350684,671512,324317,347195,6555,3066,3489,2.3971,90700,281417,676673,326602,350071,670331,323646,346685,6342,2956,3386,2.3819847,92149,281959,673926,325080,348846,667960,322299,345661,5966,2781,3185,2.37,93483
"합계",강동구,190019,457042,225226,231816,452646,223189,229457,4396,2037,2359,2.38,66401,193095,461547,227242,234305,457164,225206,231958,4383,2036,2347,2.36756,67742,194602,462275,227346,234929,458058,225396,232662,4217,1950,2267,2.3538196,68798,196499,463998,228044,235954,459970,226216,233754,4028,1828,2200,2.34,70019
